課/ブロック,支店コード,支店名
西１課,11,中村
西１課,14,黒川
西１課,15,栄
西１課,21,高畑
西１課,22,小田井
西１課,26,金山
西１課,48,熱田
西１課,49,浄心
西１課,50,港
西１課,56,大曽根
西１課,85,名古屋駅前
西２課,28,春日井
西２課,30,一宮
西２課,32,蟹江
西２課,34,岩倉・江南
西２課,45,小牧
西２課,59,扶桑・犬山
西２課,60,稲沢
西２課,70,一宮駅前
西２課,73,勝川
西２課,78,あま
西２課,86,津島
西２課,87,北名古屋
東１課,12,池下
東１課,17,藤ヶ丘
東１課,19,杁中
東１課,23,星ヶ丘
東１課,33,御器所
東１課,35,守山
東１課,42,本郷
東１課,61,八事
東１課,62,尾張旭
東１課,71,本山
東１課,80,千種
東２課,89,長久手
東２課,13,新瑞
東２課,18,平針
東２課,31,緑
東２課,40,半田
東２課,44,東海
東２課,63,豊明
東２課,66,日進
東２課,69,大府
東２課,76,知多・常滑
東２課,88,植田
東２課,90,徳重
三河ブロック,20,安城
三河ブロック,27,岡崎
三河ブロック,29,豊田
三河ブロック,37,豊田北
三河ブロック,38,豊橋
三河ブロック,46,刈谷
三河ブロック,47,岡崎南
三河ブロック,54,豊川
三河ブロック,57,知立
三河ブロック,58,西尾・碧南
三河ブロック,67,豊橋南
岐阜ブロック,16,岐阜
岐阜ブロック,24,岐阜南
岐阜ブロック,36,岐阜西
岐阜ブロック,41,岐阜北
岐阜ブロック,52,大垣
岐阜ブロック,68,各務原
岐阜ブロック,74,関
岐阜ブロック,77,可児
岐阜ブロック,79,岐阜鶉
岐阜ブロック,82,大垣北
三重ブロック,39,四日市
三重ブロック,51,桑名
三重ブロック,64,津
三重ブロック,65,鈴鹿白子
三重ブロック,72,四日市北
三重ブロック,75,松阪
